,Delhi,Mumbai,Chennai,Kolkata,mean_price,Delhi_pc,Mumbai_pc,Chennai_pc,Kolkata_pc,mean_price_pc,Price,INR,rup_lit_crude,int_pc,rup_lit_crude_pc
2021-02-16,79.7,86.72,84.77,83.29,83.62,46.27,44.77,47.66,47.03,46.41,63.96,72.82,29.29287547169811,39.96,58.18
2021-02-15,79.35,86.34,84.44,82.94,83.2675,45.62,44.14,47.08,46.41,45.8,63.58,72.61,29.034866666666666,39.12,56.79
2021-02-12,78.38,85.32,83.52,81.96,82.29499999999999,43.84,42.44,45.48,44.68,44.09,62.47,72.58,28.516179874213837,36.7,53.99
2021-02-11,78.03,84.94,83.18,81.61,81.94,43.2,41.8,44.89,44.06,43.47,61.09,72.78,27.963083018867927,33.68,51.0
2021-02-10,77.73,84.63,82.9,81.31,81.64250000000001,42.65,41.29,44.4,43.53,42.95,61.17,72.83,28.018937735849057,33.85,51.3
2021-02-09,77.48,84.36,82.66,81.06,81.39,42.19,40.83,43.98,43.09,42.51,60.74,72.93,27.86017735849057,32.91,50.44
2021-02-08,77.13,83.99,82.33,80.71,81.03999999999999,41.55,40.22,43.41,42.47,41.9,60.17,72.95,27.606298742138367,31.66,49.07
2021-02-05,77.13,83.99,82.33,80.71,81.03999999999999,41.55,40.22,43.41,42.47,41.9,59.48,72.91,27.27475974842767,30.15,47.28
2021-02-04,76.83,83.67,82.04,80.41,80.73750000000001,41.0,39.68,42.9,41.94,41.37,58.98,72.89,27.038064150943395,29.06,46.01
2021-02-03,76.48,83.3,81.71,80.08,80.3925,40.36,39.07,42.33,41.36,40.76,58.61,72.91,26.87581823899371,28.25,45.13
2021-02-02,76.48,83.3,81.71,80.08,80.3925,40.36,39.07,42.33,41.36,40.76,57.62,72.99,26.45084150943396,26.08,42.83
2021-02-01,76.48,83.3,81.71,80.08,80.3925,40.36,39.07,42.33,41.36,40.76,56.42,73.11,25.94255471698113,23.46,40.09
2021-01-29,76.48,83.3,81.71,80.08,80.3925,40.36,39.07,42.33,41.36,40.76,55.25,72.87,25.32117924528302,20.9,36.73
2021-01-28,76.48,83.3,81.71,80.08,80.3925,40.36,39.07,42.33,41.36,40.76,54.87,73.05,25.20914150943396,20.07,36.13
2021-01-27,76.48,83.3,81.71,80.08,80.3925,40.36,39.07,42.33,41.36,40.76,55.07,73.0,25.2837106918239,20.5,36.53
2021-01-26,76.23,83.03,81.47,79.83,80.14,39.9,38.61,41.91,40.92,40.32,55.26,72.93,25.346615094339622,20.92,36.87
2021-01-25,75.88,82.66,81.14,79.48,79.79,39.25,38.0,41.33,40.3,39.71,55.44,72.93,25.429177358490566,21.31,37.32
