,Date,Delhi,Mumbai,Chennai,Kolkata,Delhi_pc,Mumbai_pc,Chennai_pc,Kolkata_pc
2,2021-02-20,80.97,88.06,85.98,84.56,48.6,47.01,49.76,49.27
4,2021-02-18,80.27,87.32,85.31,83.86,47.31,45.78,48.6,48.03
5,2021-02-17,79.95,86.98,85.01,83.54,46.72,45.21,48.08,47.47
6,2021-02-16,79.7,86.72,84.77,83.29,46.27,44.77,47.66,47.03
7,2021-02-15,79.35,86.34,84.44,82.94,45.62,44.14,47.08,46.41
8,2021-02-14,79.06,86.04,84.16,82.65,45.09,43.64,46.59,45.9
9,2021-02-13,78.74,85.7,83.86,82.33,44.5,43.07,46.07,45.33
10,2021-02-12,78.38,85.32,83.52,81.96,43.84,42.44,45.48,44.68
11,2021-02-11,78.03,84.94,83.18,81.61,43.2,41.8,44.89,44.06
12,2021-02-10,77.73,84.63,82.9,81.31,42.65,41.29,44.4,43.53
13,2021-02-09,77.48,84.36,82.66,81.06,42.19,40.83,43.98,43.09
14,2021-02-08,77.13,83.99,82.33,80.71,41.55,40.22,43.41,42.47
15,2021-02-07,77.13,83.99,82.33,80.71,41.55,40.22,43.41,42.47
16,2021-02-06,77.13,83.99,82.33,80.71,41.55,40.22,43.41,42.47
17,2021-02-05,77.13,83.99,82.33,80.71,41.55,40.22,43.41,42.47
18,2021-02-04,76.83,83.67,82.04,80.41,41.0,39.68,42.9,41.94
19,2021-02-03,76.48,83.3,81.71,80.08,40.36,39.07,42.33,41.36
20,2021-02-02,76.48,83.3,81.71,80.08,40.36,39.07,42.33,41.36
21,2021-02-01,76.48,83.3,81.71,80.08,40.36,39.07,42.33,41.36
22,2021-01-31,76.48,83.3,81.71,80.08,40.36,39.07,42.33,41.36
23,2021-01-30,76.48,83.3,81.71,80.08,40.36,39.07,42.33,41.36
24,2021-01-29,76.48,83.3,81.71,80.08,40.36,39.07,42.33,41.36
25,2021-01-28,76.48,83.3,81.71,80.08,40.36,39.07,42.33,41.36
26,2021-01-27,76.48,83.3,81.71,80.08,40.36,39.07,42.33,41.36
27,2021-01-26,76.23,83.03,81.47,79.83,39.9,38.61,41.91,40.92
28,2021-01-25,75.88,82.66,81.14,79.48,39.25,38.0,41.33,40.3
29,2021-01-24,75.88,82.66,81.14,79.48,39.25,38.0,41.33,40.3
30,2021-01-23,75.88,82.66,81.14,79.48,39.25,38.0,41.33,40.3
31,2021-01-22,75.63,82.4,80.9,79.23,38.8,37.56,40.92,39.86
32,2021-01-21,75.38,82.13,80.67,78.97,38.34,37.11,40.52,39.4
33,2021-01-20,75.38,82.13,80.67,78.97,38.34,37.11,40.52,39.4
34,2021-01-19,75.38,82.13,80.67,78.97,38.34,37.11,40.52,39.4
35,2021-01-18,75.13,81.87,80.43,78.72,37.88,36.68,40.1,38.96
36,2021-01-17,74.88,81.6,80.19,78.47,37.42,36.23,39.68,38.52
37,2021-01-16,74.88,81.6,80.19,78.47,37.42,36.23,39.68,38.52
38,2021-01-15,74.88,81.6,80.19,78.47,37.42,36.23,39.68,38.52
39,2021-01-14,74.88,81.6,80.19,78.47,37.42,36.23,39.68,38.52
40,2021-01-13,74.63,81.34,79.95,78.22,36.96,35.79,39.26,38.08
41,2021-01-12,74.38,81.07,79.72,77.97,36.5,35.34,38.86,37.63
42,2021-01-11,74.38,81.07,79.72,77.97,36.5,35.34,38.86,37.63
43,2021-01-10,74.38,81.07,79.72,77.97,36.5,35.34,38.86,37.63
44,2021-01-09,74.38,81.07,79.72,77.97,36.5,35.34,38.86,37.63
45,2021-01-08,74.38,81.07,79.72,77.97,36.5,35.34,38.86,37.63
46,2021-01-07,74.38,81.07,79.72,77.97,36.5,35.34,38.86,37.63
47,2021-01-06,74.12,80.78,79.46,77.7,36.02,34.86,38.41,37.16
48,2021-01-05,73.87,80.51,79.21,77.44,35.57,34.41,37.97,36.7
49,2021-01-04,73.87,80.51,79.21,77.44,35.57,34.41,37.97,36.7
50,2021-01-03,73.87,80.51,79.21,77.44,35.57,34.41,37.97,36.7
51,2021-01-02,73.87,80.51,79.21,77.44,35.57,34.41,37.97,36.7
52,2021-01-01,73.87,80.51,79.21,77.44,35.57,34.41,37.97,36.7
53,2020-12-31,73.87,80.51,79.21,77.44,35.57,34.41,37.97,36.7
54,2020-12-30,73.87,80.51,79.21,77.44,35.57,34.41,37.97,36.7
55,2020-12-29,73.87,80.51,79.21,77.44,35.57,34.41,37.97,36.7
56,2020-12-28,73.87,80.51,79.21,77.44,35.57,34.41,37.97,36.7
57,2020-12-27,73.87,80.51,79.21,77.44,35.57,34.41,37.97,36.7
2,2020-12-26,73.87,80.51,79.21,77.44,35.57,34.41,37.97,36.7
4,2020-12-24,73.87,80.51,79.21,77.44,35.57,34.41,37.97,36.7
5,2020-12-23,73.87,80.51,79.21,77.44,35.57,34.41,37.97,36.7
6,2020-12-22,73.87,80.51,79.21,77.44,35.57,34.41,37.97,36.7
7,2020-12-21,73.87,80.51,79.21,77.44,35.57,34.41,37.97,36.7
8,2020-12-20,73.87,80.51,79.21,77.44,35.57,34.41,37.97,36.7
9,2020-12-19,73.87,80.51,79.21,77.44,35.57,34.41,37.97,36.7
10,2020-12-18,73.87,80.51,79.21,77.44,35.57,34.41,37.97,36.7
11,2020-12-17,73.87,80.51,79.21,77.44,35.57,34.41,37.97,36.7
12,2020-12-16,73.87,80.51,79.21,77.44,35.57,34.41,37.97,36.7
13,2020-12-15,73.87,80.51,79.21,77.44,35.57,34.41,37.97,36.7
14,2020-12-14,73.87,80.51,79.21,77.44,35.57,34.41,37.97,36.7
15,2020-12-13,73.87,80.51,79.21,77.44,35.57,34.41,37.97,36.7
16,2020-12-12,73.87,80.51,79.21,77.44,35.57,34.41,37.97,36.7
17,2020-12-11,73.87,80.51,79.21,77.44,35.57,34.41,37.97,36.7
18,2020-12-10,73.87,80.51,79.21,77.44,35.57,34.41,37.97,36.7
19,2020-12-09,73.87,80.51,79.21,77.44,35.57,34.41,37.97,36.7
20,2020-12-08,73.87,80.51,79.21,77.44,35.57,34.41,37.97,36.7
21,2020-12-07,73.87,80.51,79.21,77.44,35.57,34.41,37.97,36.7
22,2020-12-06,73.61,80.23,78.97,77.18,35.09,33.94,37.55,36.24
23,2020-12-05,73.32,79.93,78.69,76.89,34.56,33.44,37.07,35.73
