,Delhi,Mumbai,Chennai,Kolkata,mean_price,Delhi_pc,Mumbai_pc,Chennai_pc,Kolkata_pc,mean_price_pc,Price,INR,rup_lit_crude,int_pc,rup_lit_crude_pc
2021-02-16,89.29,95.75,91.45,90.54,91.75750000000001,36.36,24.84,34.45,33.09,31.92,63.96,72.82,29.29287547169811,39.96,58.18
2021-02-15,88.99,95.46,91.19,90.25,91.4725,35.9,24.46,34.06,32.66,31.51,63.58,72.61,29.034866666666666,39.12,56.79
2021-02-12,88.14,94.64,90.44,89.44,90.665,34.61,23.39,32.96,31.47,30.35,62.47,72.58,28.516179874213837,36.7,53.99
2021-02-11,87.85,94.36,90.18,89.16,90.38749999999999,34.16,23.02,32.58,31.06,29.95,61.09,72.78,27.963083018867927,33.68,51.0
2021-02-10,87.6,94.12,89.96,88.92,90.15,33.78,22.71,32.26,30.71,29.61,61.17,72.83,28.018937735849057,33.85,51.3
2021-02-09,87.3,93.83,89.7,88.63,89.865,33.32,22.33,31.87,30.28,29.2,60.74,72.93,27.86017735849057,32.91,50.44
2021-02-08,86.95,93.49,89.39,88.3,89.5325,32.79,21.89,31.42,29.8,28.72,60.17,72.95,27.606298742138367,31.66,49.07
2021-02-05,86.95,93.49,89.39,88.3,89.5325,32.79,21.89,31.42,29.8,28.72,59.48,72.91,27.27475974842767,30.15,47.28
2021-02-04,86.65,93.2,89.13,88.01,89.2475,32.33,21.51,31.03,29.37,28.31,58.98,72.89,27.038064150943395,29.06,46.01
2021-02-03,86.3,92.86,88.82,87.69,88.9175,31.8,21.07,30.58,28.9,27.83,58.61,72.91,26.87581823899371,28.25,45.13
2021-02-02,86.3,92.86,88.82,87.69,88.9175,31.8,21.07,30.58,28.9,27.83,57.62,72.99,26.45084150943396,26.08,42.83
2021-02-01,86.3,92.86,88.82,87.69,88.9175,31.8,21.07,30.58,28.9,27.83,56.42,73.11,25.94255471698113,23.46,40.09
2021-01-29,86.3,92.86,88.82,87.69,88.9175,31.8,21.07,30.58,28.9,27.83,55.25,72.87,25.32117924528302,20.9,36.73
2021-01-28,86.3,92.86,88.82,87.69,88.9175,31.8,21.07,30.58,28.9,27.83,54.87,73.05,25.20914150943396,20.07,36.13
2021-01-27,86.3,92.86,88.82,87.69,88.9175,31.8,21.07,30.58,28.9,27.83,55.07,73.0,25.2837106918239,20.5,36.53
2021-01-26,86.05,92.62,88.6,87.45,88.67999999999999,31.41,20.76,30.26,28.55,27.49,55.26,72.93,25.346615094339622,20.92,36.87
2021-01-25,85.7,92.28,88.29,87.11,88.34500000000001,30.88,20.31,29.8,28.05,27.01,55.44,72.93,25.429177358490566,21.31,37.32
2021-01-22,85.45,92.04,88.07,86.87,88.1075,30.5,20.0,29.48,27.69,26.67,55.22,73.01,25.356051572327047,20.83,36.92
2021-01-21,85.2,91.8,87.85,86.63,87.87,30.12,19.69,29.15,27.34,26.33,55.68,72.97,25.553267924528303,21.84,37.99
2021-01-20,85.2,91.8,87.85,86.63,87.87,30.12,19.69,29.15,27.34,26.33,55.66,73.03,25.565093081761002,21.79,38.05
2021-01-19,85.2,91.8,87.85,86.63,87.87,30.12,19.69,29.15,27.34,26.33,55.38,73.16,25.48176603773585,21.18,37.6
2021-01-18,84.95,91.56,87.63,86.39,87.6325,29.73,19.37,28.83,26.99,25.99,54.21,73.31,24.994560377358493,18.62,34.97
2021-01-15,84.7,91.32,87.4,86.15,87.39249999999998,29.35,19.06,28.49,26.64,25.64,54.8,73.11,25.19766037735849,19.91,36.07
2021-01-14,84.7,91.32,87.4,86.15,87.39249999999998,29.35,19.06,28.49,26.64,25.64,55.76,73.13,25.646093081761002,22.01,38.49
2021-01-13,84.45,91.07,87.18,85.92,87.155,28.97,18.74,28.17,26.3,25.3,55.52,73.16,25.546183647798742,21.49,37.95
2021-01-12,84.2,90.83,86.96,85.68,86.9175,28.59,18.42,27.84,25.94,24.96,55.98,73.26,25.793049056603774,22.49,39.28
2021-01-11,84.2,90.83,86.96,85.68,86.9175,28.59,18.42,27.84,25.94,24.96,54.84,73.46,25.336769811320757,20.0,36.82
2021-01-08,84.2,90.83,86.96,85.68,86.9175,28.59,18.42,27.84,25.94,24.96,55.51,73.3,25.590459119496852,21.47,38.19
2021-01-07,84.2,90.83,86.96,85.68,86.9175,28.59,18.42,27.84,25.94,24.96,53.7,73.35,24.77292452830189,17.51,33.77
2021-01-06,83.97,90.6,86.75,85.44,86.69,28.24,18.12,27.54,25.59,24.63,53.8,73.11,24.73784905660377,17.72,33.58
2021-01-05,83.71,90.34,86.51,85.19,86.4375,27.84,17.78,27.18,25.22,24.27,53.16,73.24,24.487033962264146,16.32,32.23
2021-01-04,83.71,90.34,86.51,85.19,86.4375,27.84,17.78,27.18,25.22,24.27,50.37,73.02,23.132184905660374,10.22,24.91
2020-12-31,83.71,90.34,86.51,85.19,86.4375,27.84,17.78,27.18,25.22,24.27,51.22,73.07,23.538650314465407,12.08,27.11
2020-12-30,83.71,90.34,86.51,85.19,86.4375,27.84,17.78,27.18,25.22,24.27,50.74,73.19,23.356355974842767,11.03,26.12
2020-12-29,83.71,90.34,86.51,85.19,86.4375,27.84,17.78,27.18,25.22,24.27,50.44,73.37,23.27536352201258,10.37,25.69
