,Unnamed: 0,Date,Delhi,Mumbai,Chennai,Kolkata,Delhi_pc,Mumbai_pc,Chennai_pc,Kolkata_pc,Type,Mean,Mean_pc
0,0,2021-02-20,90.58,97.0,92.59,91.78,38.33,26.47,36.12,34.91,Petrol,92.9875,33.957499999999996
1,1,2021-02-18,89.88,96.32,91.98,91.11,37.26,25.58,35.22,33.93,Petrol,92.3225,32.9975
2,2,2021-02-17,89.54,96.0,91.68,90.78,36.74,25.16,34.78,33.44,Petrol,92.0,32.53
3,3,2021-02-16,89.29,95.75,91.45,90.54,36.36,24.84,34.45,33.09,Petrol,91.7575,32.185
4,4,2021-02-15,88.99,95.46,91.19,90.25,35.9,24.46,34.06,32.66,Petrol,91.4725,31.77
5,5,2021-02-14,88.73,95.21,90.96,90.01,35.51,24.13,33.73,32.31,Petrol,91.2275,31.42
6,6,2021-02-13,88.44,94.93,90.7,89.73,35.06,23.77,33.34,31.9,Petrol,90.95,31.0175
7,7,2021-02-12,88.14,94.64,90.44,89.44,34.61,23.39,32.96,31.47,Petrol,90.665,30.6075
8,8,2021-02-11,87.85,94.36,90.18,89.16,34.16,23.02,32.58,31.06,Petrol,90.3875,30.205
9,9,2021-02-10,87.6,94.12,89.96,88.92,33.78,22.71,32.26,30.71,Petrol,90.15,29.865000000000002
10,10,2021-02-09,87.3,93.83,89.7,88.63,33.32,22.33,31.87,30.28,Petrol,89.865,29.450000000000003
11,11,2021-02-08,86.95,93.49,89.39,88.3,32.79,21.89,31.42,29.8,Petrol,89.5325,28.975
12,12,2021-02-07,86.95,93.49,89.39,88.3,32.79,21.89,31.42,29.8,Petrol,89.5325,28.975
13,13,2021-02-06,86.95,93.49,89.39,88.3,32.79,21.89,31.42,29.8,Petrol,89.5325,28.975
14,14,2021-02-05,86.95,93.49,89.39,88.3,32.79,21.89,31.42,29.8,Petrol,89.5325,28.975
15,15,2021-02-04,86.65,93.2,89.13,88.01,32.33,21.51,31.03,29.37,Petrol,89.2475,28.560000000000002
16,16,2021-02-03,86.3,92.86,88.82,87.69,31.8,21.07,30.58,28.9,Petrol,88.9175,28.087500000000002
17,17,2021-02-02,86.3,92.86,88.82,87.69,31.8,21.07,30.58,28.9,Petrol,88.9175,28.087500000000002
18,18,2021-02-01,86.3,92.86,88.82,87.69,31.8,21.07,30.58,28.9,Petrol,88.9175,28.087500000000002
19,19,2021-01-31,86.3,92.86,88.82,87.69,31.8,21.07,30.58,28.9,Petrol,88.9175,28.087500000000002
20,20,2021-01-30,86.3,92.86,88.82,87.69,31.8,21.07,30.58,28.9,Petrol,88.9175,28.087500000000002
21,21,2021-01-29,86.3,92.86,88.82,87.69,31.8,21.07,30.58,28.9,Petrol,88.9175,28.087500000000002
22,22,2021-01-28,86.3,92.86,88.82,87.69,31.8,21.07,30.58,28.9,Petrol,88.9175,28.087500000000002
23,23,2021-01-27,86.3,92.86,88.82,87.69,31.8,21.07,30.58,28.9,Petrol,88.9175,28.087500000000002
24,24,2021-01-26,86.05,92.62,88.6,87.45,31.41,20.76,30.26,28.55,Petrol,88.68,27.745
25,25,2021-01-25,85.7,92.28,88.29,87.11,30.88,20.31,29.8,28.05,Petrol,88.34500000000001,27.259999999999998
26,26,2021-01-24,85.7,92.28,88.29,87.11,30.88,20.31,29.8,28.05,Petrol,88.34500000000001,27.259999999999998
27,27,2021-01-23,85.7,92.28,88.29,87.11,30.88,20.31,29.8,28.05,Petrol,88.34500000000001,27.259999999999998
28,28,2021-01-22,85.45,92.04,88.07,86.87,30.5,20.0,29.48,27.69,Petrol,88.1075,26.9175
29,29,2021-01-21,85.2,91.8,87.85,86.63,30.12,19.69,29.15,27.34,Petrol,87.87,26.575000000000003
30,30,2021-01-20,85.2,91.8,87.85,86.63,30.12,19.69,29.15,27.34,Petrol,87.87,26.575000000000003
31,31,2021-01-19,85.2,91.8,87.85,86.63,30.12,19.69,29.15,27.34,Petrol,87.87,26.575000000000003
32,32,2021-01-18,84.95,91.56,87.63,86.39,29.73,19.37,28.83,26.99,Petrol,87.6325,26.23
33,33,2021-01-17,84.7,91.32,87.4,86.15,29.35,19.06,28.49,26.64,Petrol,87.39249999999998,25.884999999999998
34,34,2021-01-16,84.7,91.32,87.4,86.15,29.35,19.06,28.49,26.64,Petrol,87.39249999999998,25.884999999999998
35,35,2021-01-15,84.7,91.32,87.4,86.15,29.35,19.06,28.49,26.64,Petrol,87.39249999999998,25.884999999999998
36,36,2021-01-14,84.7,91.32,87.4,86.15,29.35,19.06,28.49,26.64,Petrol,87.39249999999998,25.884999999999998
37,37,2021-01-13,84.45,91.07,87.18,85.92,28.97,18.74,28.17,26.3,Petrol,87.155,25.544999999999998
