,index,INR
0,2020-11-02,74.4554582904
1,2021-02-25,72.6331288344
2,2018-10-09,74.4066462615
3,2017-12-05,64.4057567317
4,2021-02-09,72.9316754792
5,2020-11-09,73.750736346
6,2018-11-30,69.620125011
7,2017-10-23,65.022572402
8,2020-04-07,75.5645383555
9,2020-06-18,76.3437889859
10,2021-02-18,72.5500662032
11,2020-10-21,73.7213128586
12,2019-04-10,69.1501906197
13,2018-10-18,73.6071273359
14,2019-06-04,69.2582710779
15,2018-08-23,70.1109767683
16,2020-05-15,75.9293387664
17,2018-09-18,72.9768316662
18,2018-04-18,65.6651598321
19,2019-10-08,71.1305297652
20,2017-07-18,64.3331890956
21,2017-10-30,64.8949362728
22,2017-07-25,64.3851547802
23,2018-08-13,70.017100763
24,2020-12-31,73.0669872056
25,2020-04-08,76.2330972312
26,2017-10-26,64.8600357356
27,2020-08-11,74.5667487058
28,2018-02-13,64.2771426255
29,2018-10-25,73.2765416959
30,2018-11-14,72.303470255
31,2021-02-08,72.9513513514
32,2020-06-29,75.4980503368
33,2018-10-24,73.1631398718
34,2021-01-25,72.9344963792
35,2019-09-17,71.7821512788
36,2020-05-14,75.6041512231
37,2017-08-30,64.0252601544
38,2018-08-16,70.1908531223
39,2020-10-23,73.6542678812
40,2017-10-18,65.0527704485
41,2020-09-14,73.5445436174
42,2018-07-30,68.6378808627
43,2020-06-22,76.0354053331
44,2019-02-11,71.1362631532
45,2017-10-03,65.504126606
46,2018-02-22,65.0777940697
47,2020-03-19,75.1226738265
48,2018-08-21,69.8152495218
49,2018-11-21,71.3051100009
50,2018-07-25,68.745936698
51,2020-01-30,71.6393145344
52,2017-08-29,64.0222443559
53,2020-03-02,72.7540010789
54,2018-01-16,64.0474243663
55,2018-07-18,68.6280251486
56,2020-11-24,74.0872313527
57,2017-08-11,64.1699957501
58,2018-01-04,63.4048901782
59,2019-05-31,69.7166173437
60,2020-05-27,75.7392411973
61,2018-04-26,66.7521367521
62,2020-09-01,72.9194126971
63,2021-02-04,72.8863787929
64,2019-02-21,71.1145851682
65,2017-08-24,64.0322717262
66,2019-03-20,68.818037696
67,2020-02-20,71.6167747915
68,2020-12-01,73.6576704545
69,2020-10-09,73.0805426028
70,2019-02-07,71.4724548259
71,2019-01-28,71.1438080224
72,2021-02-15,72.6094484294
73,2018-03-08,65.1300217374
74,2019-02-15,71.3685612789
75,2018-07-09,68.6729154296
76,2020-08-19,74.8479007794
77,2019-10-17,71.158553046
78,2020-09-24,73.9497638471
79,2017-12-22,64.0399055092
80,2019-08-23,71.6710347944
81,2020-09-07,73.4510317997
82,2019-03-06,70.2627156126
83,2021-01-20,73.0253698041
84,2018-12-18,70.5396853301
85,2020-10-15,73.4749529834
86,2019-12-23,71.2826185102
87,2018-06-06,66.9196770081
88,2020-03-03,73.2472789422
89,2021-03-04,72.7538640519
90,2018-04-25,66.975379565
91,2020-03-31,75.6649324571
92,2021-01-07,73.3508471815
93,2019-05-09,69.9932993835
94,2019-04-16,69.5661211853
95,2017-12-27,64.1551071879
96,2019-08-12,71.2399499732
97,2020-02-13,71.2703598049
98,2017-09-07,64.015119873
99,2018-12-13,71.6102365667
