Date,Delhi,Mumbai,Chennai,Kolkata,mean_price,Delhi_pc,Mumbai_pc,Chennai_pc,Kolkata_pc,mean_price_pc,Type
2021-03-10,91.17,97.57,93.11,91.35,93.30000000000001,39.23,27.21,36.89,34.28,34.13,Petrol
2021-03-08,91.17,97.57,93.11,91.35,93.30000000000001,39.23,27.21,36.89,34.28,34.13,Petrol
2021-03-07,91.17,97.57,93.11,91.35,93.30000000000001,39.23,27.21,36.89,34.28,34.13,Petrol
2021-03-06,91.17,97.57,93.11,91.35,93.30000000000001,39.23,27.21,36.89,34.28,34.13,Petrol
2021-03-05,91.17,97.57,93.11,91.35,93.30000000000001,39.23,27.21,36.89,34.28,34.13,Petrol
2021-03-04,91.17,97.57,93.11,91.35,93.30000000000001,39.23,27.21,36.89,34.28,34.13,Petrol
2021-03-03,91.17,97.57,93.11,91.35,93.30000000000001,39.23,27.21,36.89,34.28,34.13,Petrol
2021-03-02,91.17,97.57,93.11,91.35,93.30000000000001,39.23,27.21,36.89,34.28,34.13,Petrol
2021-03-01,91.17,97.57,93.11,91.35,93.30000000000001,39.23,27.21,36.89,34.28,34.13,Petrol
2021-02-28,91.17,97.57,93.11,91.35,93.30000000000001,39.23,27.21,36.89,34.28,34.13,Petrol
2021-02-27,91.17,97.57,93.11,91.35,93.30000000000001,39.23,27.21,36.89,34.28,34.13,Petrol
2021-02-26,90.93,97.34,92.9,91.12,93.0725,38.87,26.91,36.58,33.94,33.81,Petrol
2021-02-25,90.93,97.34,92.9,91.12,93.0725,38.87,26.91,36.58,33.94,33.81,Petrol
2021-02-24,90.93,97.34,92.9,91.12,93.0725,38.87,26.91,36.58,33.94,33.81,Petrol
2021-02-23,90.93,97.34,92.9,91.12,93.0725,38.87,26.91,36.58,33.94,33.81,Petrol
2021-02-22,90.58,97.0,92.59,91.78,92.98749999999998,38.33,26.47,36.12,34.91,33.68,Petrol
2021-02-21,90.58,97.0,92.59,91.78,92.98749999999998,38.33,26.47,36.12,34.91,33.68,Petrol
2021-02-20,90.58,97.0,92.59,91.78,92.98749999999998,38.33,26.47,36.12,34.91,33.68,Petrol
2021-02-19,90.19,96.62,92.25,91.41,92.6175,37.74,25.97,35.62,34.37,33.15,Petrol
2021-02-18,89.88,96.32,91.98,91.11,92.3225,37.26,25.58,35.22,33.93,32.73,Petrol
2021-02-17,89.54,96.0,91.68,90.78,92.0,36.74,25.16,34.78,33.44,32.26,Petrol
2021-02-16,89.29,95.75,91.45,90.54,91.75750000000001,36.36,24.84,34.45,33.09,31.92,Petrol
2021-02-15,88.99,95.46,91.19,90.25,91.4725,35.9,24.46,34.06,32.66,31.51,Petrol
2021-02-14,88.73,95.21,90.96,90.01,91.22749999999999,35.51,24.13,33.73,32.31,31.15,Petrol
2021-02-13,88.44,94.93,90.7,89.73,90.95,35.06,23.77,33.34,31.9,30.76,Petrol
2021-02-12,88.14,94.64,90.44,89.44,90.665,34.61,23.39,32.96,31.47,30.35,Petrol
2021-02-11,87.85,94.36,90.18,89.16,90.38749999999999,34.16,23.02,32.58,31.06,29.95,Petrol
2021-02-10,87.6,94.12,89.96,88.92,90.15,33.78,22.71,32.26,30.71,29.61,Petrol
2021-02-09,87.3,93.83,89.7,88.63,89.865,33.32,22.33,31.87,30.28,29.2,Petrol
2021-02-08,86.95,93.49,89.39,88.3,89.5325,32.79,21.89,31.42,29.8,28.72,Petrol
2021-02-07,86.95,93.49,89.39,88.3,89.5325,32.79,21.89,31.42,29.8,28.72,Petrol
2021-02-06,86.95,93.49,89.39,88.3,89.5325,32.79,21.89,31.42,29.8,28.72,Petrol
2021-02-05,86.95,93.49,89.39,88.3,89.5325,32.79,21.89,31.42,29.8,28.72,Petrol
2021-02-04,86.65,93.2,89.13,88.01,89.2475,32.33,21.51,31.03,29.37,28.31,Petrol
2021-02-03,86.3,92.86,88.82,87.69,88.9175,31.8,21.07,30.58,28.9,27.83,Petrol
2021-02-02,86.3,92.86,88.82,87.69,88.9175,31.8,21.07,30.58,28.9,27.83,Petrol
